holdepladsnr,navn,type nr,type navn,type ikon,etrs89koordinat øst,etrs89koordinat nord,wgs84koordinat bredde,wgs84koordinat længde,rejseplanen herfra,rejseplanen hertil,rejseplanen herframobil,rejseplanen hertilmobil,rejseplanen afgangstavle,rejseplanen ankomsttavle
8600691,Stengården st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,717926,6184446,55.7565343710854,12.473188160065,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600691&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600691&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600691&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600691&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600691&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600691&boardType=arr&time=now&start=yes
8600692,Bagsværd st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,716665,6184978,55.761871658624,12.4535542427187,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600692&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600692&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600692&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600692&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600692&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600692&boardType=arr&time=now&start=yes
8600693,Skovbrynet st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,715297,6185278,55.7651726247414,12.4320295190896,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600693&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600693&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600693&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600693&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600693&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600693&boardType=arr&time=now&start=yes
8600694,Hareskov st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,713662,6185292,55.7660225360112,12.4060289836114,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600694&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600694&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600694&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600694&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600694&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600694&boardType=arr&time=now&start=yes
8600695,Værløse st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,711516,6186972,55.7820340222742,12.3731886571177,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600695&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600695&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600695&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600695&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600695&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600695&boardType=arr&time=now&start=yes
8600696,Farum st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,711375,6190309,55.8120274447408,12.3735338507901,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600696&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600696&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600696&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600696&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600696&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600696&boardType=arr&time=now&start=yes
8600701,Langgade st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,720376,6174592,55.667049949762,12.5042242135794,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600701&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600701&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600701&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600701&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600701&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600701&boardType=arr&time=now&start=yes
8600702,Peter Bangs Vej st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,720262,6175873,55.6785904485583,12.5034429995265,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600702&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600702&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600702&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600702&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600702&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600702&boardType=arr&time=now&start=yes
8600703,Vanløse st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,719406,6176807,55.6873546760411,12.4906029158722,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600703&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600703&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600703&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600703&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600703&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600703&boardType=arr&time=now&start=yes
8600704,Islev st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,718005,6178094,55.6995287348017,12.4693831939691,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600704&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600704&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600704&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600704&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600704&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600704&boardType=arr&time=now&start=yes
